Categorías;Barrios;2018;2019;2020;2021;2022
Edad promedio;01. Centro;44,09;44,03;43,89;43,88;43,99
Edad promedio;02. Arganzuela;44,35;44,55;44,71;44,9;45,28
Edad promedio;03. Retiro;46,92;47,04;47,13;47,31;47,51
Edad promedio;04. Salamanca;46,25;46,24;46,16;46,2;46,27
Edad promedio;05. Chamartín;45,31;45,39;45,42;45,52;45,75
Edad promedio;06. Tetuán;44,17;44,13;43,99;44,02;44,28
Edad promedio;07. Chamberí;46,45;46,34;46,27;46,36;46,44
Edad promedio;08. Fuencarral-El Pardo;42,74;42,87;42,99;43,21;43,58
Edad promedio;09. Moncloa-Aravaca;44,49;44,57;44,57;44,65;44,85
Edad promedio;10. Latina;46,47;46,49;46,41;46,51;46,78
Edad promedio;11. Carabanchel;43,47;43,44;43,33;43,44;43,78
Edad promedio;12. Usera;42,33;42,26;42,24;42,35;42,66
Edad promedio;13. Puente de Vallecas;43,3;43,23;43,13;43,23;43,54
Edad promedio;14. Moratalaz;47,38;47,55;47,65;47,9;48,25
Edad promedio;15. Ciudad Lineal;45,79;45,78;45,78;45,98;46,27
Edad promedio;16. Hortaleza;42,27;42,28;42,37;42,54;42,73
Edad promedio;17. Villaverde;42,11;42,08;41,98;42,09;42,32
Edad promedio;18. Villa de Vallecas;38,57;38,83;39,04;39,3;39,73
Edad promedio;19. Vicálvaro;40,46;40,75;41,04;41,19;41,08
Edad promedio;20. San Blas-Canillejas;43,03;43,14;43,23;43,4;43,77
Edad promedio;21. Barajas;41,48;41,73;41,93;42,21;43
Proporción de juventud;01. Centro;8,48;8,28;7,77;7,51;7,36
Proporción de juventud;02. Arganzuela;12,9;12,61;12,27;12,04;11,79
Proporción de juventud;03. Retiro;12,61;12,55;12,4;12,18;12,02
Proporción de juventud;04. Salamanca;11,42;11,35;11,16;11,06;10,9
Proporción de juventud;05. Chamartín;13,87;13,82;13,75;13,67;13,43
Proporción de juventud;06. Tetuán;12;11,72;11,52;11,44;11,38
Proporción de juventud;07. Chamberí;11,02;10,87;10,68;10,65;10,59
Proporción de juventud;08. Fuencarral-El Pardo;17,89;17,97;17,88;17,74;17,52
Proporción de juventud;09. Moncloa-Aravaca;14,73;14,52;14,32;14,1;13,95
Proporción de juventud;10. Latina;12,54;12,44;12,27;12,05;11,87
Proporción de juventud;11. Carabanchel;15,01;14,76;14,54;14,21;13,88
Proporción de juventud;12. Usera;15,86;15,63;15,21;14,87;14,62
Proporción de juventud;13. Puente de Vallecas;14,09;13,94;13,73;13,56;13,43
Proporción de juventud;14. Moratalaz;12,14;11,88;11,57;11,41;11,12
Proporción de juventud;15. Ciudad Lineal;12,97;12,76;12,51;12,27;12
Proporción de juventud;16. Hortaleza;17,71;17,78;17,66;17,58;17,49
Proporción de juventud;17. Villaverde;16,8;16,59;16,32;15,99;15,74
Proporción de juventud;18. Villa de Vallecas;19,45;19,3;19,05;18,91;18,68
Proporción de juventud;19. Vicálvaro;19,15;18,68;17,99;17,39;17,01
Proporción de juventud;20. San Blas-Canillejas;15,97;15,53;15;14,48;13,97
Proporción de juventud;21. Barajas;18,46;18,33;18,08;17,66;16,73
Proporción de envejecimiento;01. Centro;16,25;16,05;15,67;15,55;15,69
Proporción de envejecimiento;02. Arganzuela;19,03;19,27;19,54;19,83;20,45
Proporción de envejecimiento;03. Retiro;25,52;25,76;25,93;26,21;26,57
Proporción de envejecimiento;04. Salamanca;23,92;23,89;23,77;23,8;23,99
Proporción de envejecimiento;05. Chamartín;23,16;23,28;23,34;23,42;23,75
Proporción de envejecimiento;06. Tetuán;19,57;19,33;19,05;18,95;19,29
Proporción de envejecimiento;07. Chamberí;24,24;24,18;24,03;24,23;24,42
Proporción de envejecimiento;08. Fuencarral-El Pardo;20,68;20,8;20,87;21,06;21,49
Proporción de envejecimiento;09. Moncloa-Aravaca;21,83;21,9;21,81;21,88;22,17
Proporción de envejecimiento;10. Latina;25,04;24,79;24,35;24,16;24,31
Proporción de envejecimiento;11. Carabanchel;19,6;19,24;18,8;18,56;18,73
Proporción de envejecimiento;12. Usera;17,41;17,08;16,69;16,47;16,69
Proporción de envejecimiento;13. Puente de Vallecas;18,21;17,86;17,55;17,45;17,76
Proporción de envejecimiento;14. Moratalaz;26;26,05;25,96;26,05;26,38
Proporción de envejecimiento;15. Ciudad Lineal;23,06;22,83;22,65;22,71;23,01
Proporción de envejecimiento;16. Hortaleza;18,71;18,61;18,52;18,57;18,71
Proporción de envejecimiento;17. Villaverde;17,79;17,4;16,89;16,64;16,68
Proporción de envejecimiento;18. Villa de Vallecas;12,36;12,48;12,58;12,66;13,06
Proporción de envejecimiento;19. Vicálvaro;14,55;14,45;14,37;14,08;13,62
Proporción de envejecimiento;20. San Blas-Canillejas;17,7;17,57;17,39;17,34;17,65
Proporción de envejecimiento;21. Barajas;17,62;17,77;17,91;17,89;18,77
Proporción de extranjeros;01. Centro;22,01;22,86;24,26;25,85;26,62
Proporción de extranjeros;02. Arganzuela;9,52;9,94;10,51;10,79;10,66
Proporción de extranjeros;03. Retiro;7,07;7,76;8,47;8,67;8,82
Proporción de extranjeros;04. Salamanca;12,52;13,26;14,46;15,03;15,59
Proporción de extranjeros;05. Chamartín;9,09;9,46;10,08;10,34;10,29
Proporción de extranjeros;06. Tetuán;18,05;19,04;20,05;20,42;20,24
Proporción de extranjeros;07. Chamberí;10,7;11,35;12,12;12,55;12,76
Proporción de extranjeros;08. Fuencarral-El Pardo;7,92;8,49;9,15;9,22;8,98
