Categorías;Barrios;2018;2019;2020;2021;2022
0 a 15 años;01. Centro;11.228;11.171;10.919;10.608;10.282
0 a 15 años;02. Arganzuela;19.723;19.400;19.104;18.571;18.003
0 a 15 años;03. Retiro;15.010;14.979;14.928;14.443;14.142
0 a 15 años;04. Salamanca;16.588;16.586;16.507;16.147;15.862
0 a 15 años;05. Chamartín;20.103;20.152;20.283;19.913;19.388
0 a 15 años;06. Tetuán;18.709;18.510;18.590;18.293;17.909
0 a 15 años;07. Chamberí;15.256;15.158;15.042;14.767;14.541
0 a 15 años;08. Fuencarral-El Pardo;43.454;44.201;44.701;43.940;43.158
0 a 15 años;09. Moncloa-Aravaca;17.353;17.338;17.424;17.036;16.787
0 a 15 años;10. Latina;29.572;29.625;29.721;28.946;28.146
0 a 15 años;11. Carabanchel;37.251;37.359;37.839;36.742;35.453
0 a 15 años;12. Usera;21.724;21.801;21.741;21.188;20.580
0 a 15 años;13. Puente de Vallecas;32.465;32.716;33.078;32.422;31.653
0 a 15 años;14. Moratalaz;11.439;11.235;11.059;10.702;10.270
0 a 15 años;15. Ciudad Lineal;27.821;27.591;27.516;26.603;25.661
0 a 15 años;16. Hortaleza;32.572;33.480;34.132;33.962;34.111
0 a 15 años;17. Villaverde;24.455;24.700;25.191;24.755;24.218
0 a 15 años;18. Villa de Vallecas;20.933;21.315;21.814;21.691;21.448
0 a 15 años;19. Vicálvaro;13.590;13.476;13.324;13.130;13.495
0 a 15 años;20. San Blas-Canillejas;24.933;24.569;24.186;23.211;22.186
0 a 15 años;21. Barajas;8.832;8.976;9.042;8.845;8.098
16 a 64 años;01. Centro;99.611;102.065;107.548;108.667;107.486
16 a 64 años;02. Arganzuela;104.090;104.784;106.145;105.078;103.423
16 a 64 años;03. Retiro;73.624;73.652;74.251;73.037;72.262
16 a 64 años;04. Salamanca;93.925;94.649;96.196;95.122;94.700
16 a 64 años;05. Chamartín;91.234;91.757;92.825;91.663;90.697
16 a 64 años;06. Tetuán;106.730;108.901;112.000;111.262;109.158
16 a 64 años;07. Chamberí;89.610;90.566;91.969;90.307;89.224
16 a 64 años;08. Fuencarral-El Pardo;149.244;150.648;153.108;151.598;150.198
16 a 64 años;09. Moncloa-Aravaca;74.763;75.928;77.716;77.360;76.888
16 a 64 años;10. Latina;147.167;149.500;153.451;153.183;151.265
16 a 64 años;11. Carabanchel;162.328;166.986;173.437;173.880;172.192
16 a 64 años;12. Usera;91.412;93.873;97.300;97.802;96.725
16 a 64 años;13. Puente de Vallecas;156.056;160.115;165.519;164.930;162.125
16 a 64 años;14. Moratalaz;58.313;58.727;59.733;58.667;57.750
16 a 64 años;15. Ciudad Lineal;137.197;139.298;142.548;140.979;139.019
16 a 64 años;16. Hortaleza;116.942;119.751;123.344;123.390;124.415
16 a 64 años;17. Villaverde;95.178;98.273;103.064;104.295;103.949
16 a 64 años;18. Villa de Vallecas;73.407;75.338;78.292;78.516;78.379
16 a 64 años;19. Vicálvaro;47.044;48.226;50.085;51.726;55.028
16 a 64 años;20. San Blas-Canillejas;103.574;105.810;109.002;109.264;108.570
16 a 64 años;21. Barajas;30.573;31.296;32.013;32.275;31.219
65 y más años;01. Centro;21.513;21.645;22.006;21.961;21.914
65 y más años;02. Arganzuela;29.094;29.646;30.411;30.594;31.212
65 y más años;03. Retiro;30.377;30.748;31.227;31.077;31.268
65 y más años;04. Salamanca;34.755;34.913;35.151;34.747;34.895
65 y más años;05. Chamartín;33.557;33.956;34.443;34.124;34.286
65 y más años;06. Tetuán;30.528;30.526;30.723;30.294;30.366
65 y más años;07. Chamberí;33.552;33.724;33.855;33.593;33.522
65 y más años;08. Fuencarral-El Pardo;50.230;51.172;52.164;52.154;52.925
65 y más años;09. Moncloa-Aravaca;25.719;26.157;26.543;26.438;26.685
65 y más años;10. Latina;59.046;59.029;58.967;58.026;57.637
65 y más años;11. Carabanchel;48.641;48.695;48.920;48.011;47.869
65 y más años;12. Usera;23.842;23.827;23.853;23.464;23.503
65 y más años;13. Puente de Vallecas;41.967;41.939;42.270;41.705;41.860
65 y más años;14. Moratalaz;24.509;24.647;24.822;24.441;24.370
65 y más años;15. Ciudad Lineal;49.445;49.381;49.803;49.236;49.225
65 y más años;16. Hortaleza;34.416;35.036;35.788;35.876;36.491
65 y más años;17. Villaverde;25.890;25.910;26.063;25.758;25.662
65 y más años;18. Villa de Vallecas;13.309;13.783;14.406;14.526;14.990
65 y más años;19. Vicálvaro;10.328;10.424;10.639;10.629;10.805
65 y más años;20. San Blas-Canillejas;27.642;27.787;28.034;27.783;28.027
65 y más años;21. Barajas;8.431;8.700;8.955;8.957;9.087
;;;;;;
;;;;;;
Fuente: Ayuntamiento de Madrid. Subdirección General de Estadística. Elaboración propia;;;;;;
