Categorías;Barrios;2018;2019;2020;2021;2022
1 persona;01. Centro;32.234;32.296;32.637;32.713;33.507
1 persona;02. Arganzuela;21.782;21.911;21.921;22.090;22.653
1 persona;03. Retiro;15.187;15.241;15.408;15.637;16.019
1 persona;04. Salamanca;23.686;23.799;23.813;23.896;24.101
1 persona;05. Chamartín;19.259;19.460;19.431;19.543;20.038
1 persona;06. Tetuán;24.368;24.530;24.712;24.751;25.345
1 persona;07. Chamberí;24.524;24.857;24.952;24.787;25.152
1 persona;08. Fuencarral-El Pardo;21.954;22.157;22.545;22.882;23.407
1 persona;09. Moncloa-Aravaca;13.615;13.621;13.743;13.985;14.348
1 persona;10. Latina;27.506;27.868;28.224;28.754;29.505
1 persona;11. Carabanchel;27.249;27.370;27.562;27.931;28.385
1 persona;12. Usera;12.962;12.896;12.870;13.017;13.297
1 persona;13. Puente de Vallecas;24.486;24.606;24.646;25.073;25.646
1 persona;14. Moratalaz;10.325;10.501;10.570;10.838;11.093
1 persona;15. Ciudad Lineal;26.745;27.066;27.302;27.645;28.134
1 persona;16. Hortaleza;17.146;17.419;17.795;18.179;18.789
1 persona;17. Villaverde;12.560;12.848;13.046;13.328;13.764
1 persona;18. Villa de Vallecas;11.321;11.488;11.659;11.868;12.123
1 persona;19. Vicálvaro;5.895;6.056;6.218;6.533;7.105
1 persona;20. San Blas-Canillejas;15.703;15.835;15.957;16.228;16.510
1 persona;21. Barajas;4.282;4.423;4.434;4.560;4.558
2 personas;01. Centro;18.318;18.788;19.580;19.709;19.828
2 personas;02. Arganzuela;17.832;18.200;18.725;18.710;18.845
2 personas;03. Retiro;13.750;13.861;14.110;14.086;14.165
2 personas;04. Salamanca;17.085;17.132;17.421;17.169;17.512
2 personas;05. Chamartín;15.471;15.551;15.791;15.665;15.892
2 personas;06. Tetuán;17.891;18.137;18.468;18.453;18.586
2 personas;07. Chamberí;16.862;16.962;17.294;17.206;17.080
2 personas;08. Fuencarral-El Pardo;24.195;24.460;24.709;24.709;25.021
2 personas;09. Moncloa-Aravaca;12.078;12.268;12.575;12.558;12.641
2 personas;10. Latina;28.589;28.749;28.565;28.353;28.548
2 personas;11. Carabanchel;25.671;25.773;25.810;25.713;26.138
2 personas;12. Usera;12.983;12.904;12.814;12.816;12.977
2 personas;13. Puente de Vallecas;23.912;23.897;24.060;23.911;24.236
2 personas;14. Moratalaz;11.245;11.120;11.269;11.156;11.235
2 personas;15. Ciudad Lineal;24.286;24.308;24.770;24.541;24.779
2 personas;16. Hortaleza;18.459;18.686;19.097;19.232;19.556
2 personas;17. Villaverde;14.222;14.258;14.379;14.473;14.693
2 personas;18. Villa de Vallecas;10.715;10.871;11.240;11.336;11.542
2 personas;19. Vicálvaro;6.613;6.640;6.747;7.002;7.640
2 personas;20. San Blas-Canillejas;15.759;15.802;16.047;16.064;16.260
2 personas;21. Barajas;4.636;4.783;4.927;5.020;4.974
3 personas;01. Centro;8.018;8.235;8.591;8.667;8.529
3 personas;02. Arganzuela;11.709;11.551;11.615;11.581;11.514
3 personas;03. Retiro;8.783;8.805;8.895;8.698;8.652
3 personas;04. Salamanca;9.780;9.810;9.829;9.848;9.662
3 personas;05. Chamartín;9.555;9.551;9.792;9.676;9.491
3 personas;06. Tetuán;10.585;10.615;10.672;10.535;10.433
3 personas;07. Chamberí;9.156;9.169;9.356;9.087;9.064
3 personas;08. Fuencarral-El Pardo;18.357;18.338;18.431;18.162;18.116
3 personas;09. Moncloa-Aravaca;8.103;8.194;8.291;8.158;8.079
3 personas;10. Latina;18.104;17.817;17.713;17.515;17.391
3 personas;11. Carabanchel;18.024;18.146;18.119;18.039;18.101
3 personas;12. Usera;9.661;9.586;9.672;9.695;9.811
3 personas;13. Puente de Vallecas;17.377;17.446;17.365;17.216;17.368
3 personas;14. Moratalaz;7.326;7.348;7.401;7.232;7.110
3 personas;15. Ciudad Lineal;15.983;15.985;15.886;15.812;15.725
3 personas;16. Hortaleza;14.208;14.483;14.758;14.579;14.815
3 personas;17. Villaverde;10.693;10.673;10.721;10.720;10.854
3 personas;18. Villa de Vallecas;8.843;8.937;9.141;9.133;9.200
3 personas;19. Vicálvaro;5.676;5.709;5.878;6.026;6.392
3 personas;20. San Blas-Canillejas;12.415;12.336;12.285;12.217;12.271
3 personas;21. Barajas;3.888;3.944;4.021;3.979;3.830
4 personas;01. Centro;4.534;4.567;4.797;4.807;4.661
4 personas;02. Arganzuela;9.214;9.271;9.243;9.032;8.899
4 personas;03. Retiro;6.827;6.779;6.703;6.549;6.498
4 personas;04. Salamanca;6.946;7.064;7.155;6.957;6.938
4 personas;05. Chamartín;7.376;7.434;7.494;7.377;7.241
4 personas;06. Tetuán;7.175;7.156;7.205;7.283;7.168
4 personas;07. Chamberí;6.512;6.537;6.484;6.443;6.356
4 personas;08. Fuencarral-El Pardo;16.107;16.325;16.349;16.165;16.037
4 personas;09. Moncloa-Aravaca;6.657;6.697;6.738;6.704;6.680
4 personas;10. Latina;12.907;12.854;12.921;12.676;12.453
4 personas;11. Carabanchel;14.336;14.259;14.414;14.225;14.225
4 personas;12. Usera;7.760;7.811;7.744;7.754;7.787
4 personas;13. Puente de Vallecas;13.105;13.060;13.113;12.920;12.664
4 personas;14. Moratalaz;5.710;5.676;5.525;5.401;5.284
4 personas;15. Ciudad Lineal;11.701;11.587;11.622;11.432;11.144
4 personas;16. Hortaleza;12.627;12.861;13.179;13.185;13.205
4 personas;17. Villaverde;9.145;9.166;9.101;9.076;9.087
