Barrios;2018;2019;2020;2021;2022
01. Centro;1.582;1.936;1.469;1.517;1.995
02. Arganzuela;366;296;292;264;266
03. Retiro;187;178;152;147;129
04. Salamanca;646;728;595;682;631
05. Chamartín;566;316;266;290;263
06. Tetuán;458;520;390;363;469
07. Chamberí;339;258;203;171;208
08. Fuencarral-El Pardo;257;221;216;261;282
09. Moncloa-Aravaca;307;281;189;230;237
10. Latina;386;369;389;434;464
11. Carabanchel;694;643;564;538;529
12. Usera;480;380;371;363;341
13. Puente de Vallecas;1.030;1.102;1.086;996;991
14. Moratalaz;148;130;87;103;75
15. Ciudad Lineal;425;499;468;503;514
16. Hortaleza;284;226;247;277;248
17. Villaverde;468;414;338;307;303
18. Villa de Vallecas;447;334;277;219;221
19. Vicálvaro;97;83;67;92;83
20. San Blas-Canillejas;368;418;294;361;327
21. Barajas;109;95;73;100;93
