Barrios;2018;2019;2020;2021;2022
01. Centro;947;908;863;820;713
02. Arganzuela;1.287;1.317;1.142;1.197;1.036
03. Retiro;934;902;801;857;704
04. Salamanca;1.218;1.191;1.150;1.194;1.004
05. Chamartín;1.404;1.383;1.305;1.346;1.226
06. Tetuán;1.401;1.431;1.353;1.292;1.211
07. Chamberí;1.124;1.165;1.076;1.092;946
08. Fuencarral-El Pardo;2.502;2.455;2.189;2.227;2.062
09. Moncloa-Aravaca;922;931;936;952;860
10. Latina;1.709;1.710;1.545;1.546;1.480
11. Carabanchel;2.056;2.111;1.906;1.726;1.891
12. Usera;1.216;1.192;1.124;1.129;1.071
13. Puente de Vallecas;2.045;2.041;1.960;1.810;1.864
14. Moratalaz;640;621;586;565;511
15. Ciudad Lineal;1.620;1.592;1.491;1.469;1.377
16. Hortaleza;1.883;1.794;1.844;1.752;1.601
17. Villaverde;1.368;1.372;1.334;1.241;1.348
18. Villa de Vallecas;1.363;1.329;1.181;1.116;1.060
19. Vicálvaro;514;578;522;647;795
20. San Blas-Canillejas;1.200;1.174;1.101;1.120;1.048
21. Barajas;432;416;437;359;321
