Categorías;Barrios;2018;2019;2020;2021;2022
No sabe leer ni escribir;01. Centro;309;306;321;321;295
No sabe leer ni escribir;02. Arganzuela;189;179;183;183;189
No sabe leer ni escribir;03. Retiro;167;160;160;153;151
No sabe leer ni escribir;04. Salamanca;168;165;163;155;158
No sabe leer ni escribir;05. Chamartín;174;175;170;183;196
No sabe leer ni escribir;06. Tetuán;492;468;466;452;446
No sabe leer ni escribir;07. Chamberí;167;168;158;157;159
No sabe leer ni escribir;08. Fuencarral-El Pardo;671;631;604;564;542
No sabe leer ni escribir;09. Moncloa-Aravaca;180;172;171;154;154
No sabe leer ni escribir;10. Latina;914;888;868;820;823
No sabe leer ni escribir;11. Carabanchel;1.189;1.153;1.124;1.071;1.051
No sabe leer ni escribir;12. Usera;1.039;1.009;1.007;951;925
No sabe leer ni escribir;13. Puente de Vallecas;2.330;2.249;2.213;2.108;2.091
No sabe leer ni escribir;14. Moratalaz;533;520;527;505;499
No sabe leer ni escribir;15. Ciudad Lineal;721;685;672;636;637
No sabe leer ni escribir;16. Hortaleza;513;501;490;469;466
No sabe leer ni escribir;17. Villaverde;1.122;1.103;1.073;1.055;1.051
No sabe leer ni escribir;18. Villa de Vallecas;791;767;772;749;743
No sabe leer ni escribir;19. Vicálvaro;443;439;432;422;406
No sabe leer ni escribir;20. San Blas-Canillejas;962;928;885;848;813
No sabe leer ni escribir;21. Barajas;169;166;169;160;155
Sin estudios;01. Centro;3.372;3.152;2.971;2.720;2.474
Sin estudios;02. Arganzuela;3.133;2.956;2.768;2.513;2.323
Sin estudios;03. Retiro;1.815;1.683;1.572;1.413;1.317
Sin estudios;04. Salamanca;1.848;1.724;1.592;1.440;1.336
Sin estudios;05. Chamartín;1.637;1.506;1.414;1.296;1.194
Sin estudios;06. Tetuán;4.695;4.415;4.101;3.741;3.409
Sin estudios;07. Chamberí;1.836;1.711;1.589;1.442;1.295
Sin estudios;08. Fuencarral-El Pardo;6.244;5.887;5.561;5.046;4.785
Sin estudios;09. Moncloa-Aravaca;2.170;2.057;1.928;1.777;1.630
Sin estudios;10. Latina;11.409;10.769;10.148;9.476;8.797
Sin estudios;11. Carabanchel;11.570;10.945;10.388;9.674;9.072
Sin estudios;12. Usera;8.018;7.642;7.260;6.753;6.355
Sin estudios;13. Puente de Vallecas;17.096;16.250;15.491;14.423;13.483
Sin estudios;14. Moratalaz;4.192;3.971;3.802;3.532;3.301
Sin estudios;15. Ciudad Lineal;7.098;6.631;6.221;5.747;5.345
Sin estudios;16. Hortaleza;5.137;4.884;4.646;4.307;4.011
Sin estudios;17. Villaverde;9.386;8.927;8.529;7.992;7.495
Sin estudios;18. Villa de Vallecas;4.645;4.558;4.423;4.112;3.928
Sin estudios;19. Vicálvaro;3.473;3.313;3.181;2.987;2.834
Sin estudios;20. San Blas-Canillejas;6.505;6.161;5.806;5.332;4.941
Sin estudios;21. Barajas;1.092;1.051;1.002;925;878
Enseñanza primaria incompleta;01. Centro;9.491;8.982;8.630;8.153;7.612
Enseñanza primaria incompleta;02. Arganzuela;10.653;10.120;9.674;9.030;8.491
Enseñanza primaria incompleta;03. Retiro;6.268;5.922;5.612;5.197;4.895
Enseñanza primaria incompleta;04. Salamanca;6.391;6.040;5.701;5.281;4.971
Enseñanza primaria incompleta;05. Chamartín;5.644;5.340;5.120;4.743;4.462
Enseñanza primaria incompleta;06. Tetuán;14.030;13.461;12.941;12.227;11.606
Enseñanza primaria incompleta;07. Chamberí;6.596;6.199;5.803;5.393;4.961
Enseñanza primaria incompleta;08. Fuencarral-El Pardo;16.808;16.266;15.687;14.888;14.267
Enseñanza primaria incompleta;09. Moncloa-Aravaca;7.060;6.759;6.550;6.143;5.820
Enseñanza primaria incompleta;10. Latina;31.870;30.804;29.927;28.610;27.334
Enseñanza primaria incompleta;11. Carabanchel;31.629;30.685;30.056;28.782;27.649
Enseñanza primaria incompleta;12. Usera;19.979;19.657;19.273;18.583;17.846
Enseñanza primaria incompleta;13. Puente de Vallecas;34.002;33.253;32.675;31.426;30.257
Enseñanza primaria incompleta;14. Moratalaz;10.714;10.323;9.985;9.464;8.999
Enseñanza primaria incompleta;15. Ciudad Lineal;20.991;20.158;19.377;18.331;17.323
Enseñanza primaria incompleta;16. Hortaleza;13.879;13.457;13.079;12.485;11.943
Enseñanza primaria incompleta;17. Villaverde;19.511;19.169;18.915;18.333;17.711
Enseñanza primaria incompleta;18. Villa de Vallecas;9.509;9.423;9.377;8.988;8.727
Enseñanza primaria incompleta;19. Vicálvaro;7.215;7.064;6.975;6.776;6.604
Enseñanza primaria incompleta;20. San Blas-Canillejas;16.518;16.041;15.629;14.963;14.320
Enseñanza primaria incompleta;21. Barajas;2.639;2.623;2.561;2.464;2.371
Bachiller elemental, Graduado escolar, E.S.O.;01. Centro;18.980;18.735;19.006;19.028;18.420
Bachiller elemental, Graduado escolar, E.S.O.;02. Arganzuela;20.933;20.692;20.350;19.925;19.348
Bachiller elemental, Graduado escolar, E.S.O.;03. Retiro;13.443;13.165;12.941;12.532;12.113
Bachiller elemental, Graduado escolar, E.S.O.;04. Salamanca;15.377;14.973;14.722;14.229;13.680
Bachiller elemental, Graduado escolar, E.S.O.;05. Chamartín;14.330;14.123;13.884;13.482;12.969
Bachiller elemental, Graduado escolar, E.S.O.;06. Tetuán;29.528;29.555;29.758;29.530;28.794
Bachiller elemental, Graduado escolar, E.S.O.;07. Chamberí;15.448;15.077;14.777;14.392;13.696
Bachiller elemental, Graduado escolar, E.S.O.;08. Fuencarral-El Pardo;31.846;31.873;31.944;31.387;30.808
Bachiller elemental, Graduado escolar, E.S.O.;09. Moncloa-Aravaca;13.442;13.460;13.555;13.275;12.881
Bachiller elemental, Graduado escolar, E.S.O.;10. Latina;50.502;51.158;52.091;52.225;51.660
Bachiller elemental, Graduado escolar, E.S.O.;11. Carabanchel;57.741;59.430;61.383;61.876;61.157
Bachiller elemental, Graduado escolar, E.S.O.;12. Usera;34.718;35.515;36.627;37.030;36.466
Bachiller elemental, Graduado escolar, E.S.O.;13. Puente de Vallecas;56.756;58.440;60.749;61.370;60.854
Bachiller elemental, Graduado escolar, E.S.O.;14. Moratalaz;17.388;17.355;17.534;17.399;17.145
Bachiller elemental, Graduado escolar, E.S.O.;15. Ciudad Lineal;39.938;39.841;40.057;39.743;39.006
Bachiller elemental, Graduado escolar, E.S.O.;16. Hortaleza;25.120;25.205;25.462;25.082;24.768
Bachiller elemental, Graduado escolar, E.S.O.;17. Villaverde;34.603;36.013;37.915;38.469;38.130
Bachiller elemental, Graduado escolar, E.S.O.;18. Villa de Vallecas;20.596;21.299;22.037;22.156;22.173
Bachiller elemental, Graduado escolar, E.S.O.;19. Vicálvaro;13.396;13.631;14.090;14.433;14.864
Bachiller elemental, Graduado escolar, E.S.O.;20. San Blas-Canillejas;30.115;30.525;31.203;31.136;30.706
Bachiller elemental, Graduado escolar, E.S.O.;21. Barajas;6.280;6.321;6.413;6.373;6.276
Formación profesional 1er grado;01. Centro;2.922;2.919;2.982;2.981;2.929
Formación profesional 1er grado;02. Arganzuela;3.770;3.779;3.746;3.763;3.708
Formación profesional 1er grado;03. Retiro;1.929;1.961;1.961;1.931;1.894
Formación profesional 1er grado;04. Salamanca;1.995;1.974;1.978;1.927;1.922
Formación profesional 1er grado;05. Chamartín;1.759;1.746;1.737;1.693;1.685
Formación profesional 1er grado;06. Tetuán;4.031;4.047;4.041;4.006;3.953
Formación profesional 1er grado;07. Chamberí;2.102;2.040;2.025;1.964;1.946
Formación profesional 1er grado;08. Fuencarral-El Pardo;6.085;6.152;6.118;6.045;5.955
Formación profesional 1er grado;09. Moncloa-Aravaca;2.136;2.181;2.222;2.188;2.158
Formación profesional 1er grado;10. Latina;9.539;9.698;9.807;9.810;9.757
Formación profesional 1er grado;11. Carabanchel;9.666;9.853;10.139;10.191;10.251
Formación profesional 1er grado;12. Usera;5.460;5.617;5.728;5.741;5.759
Formación profesional 1er grado;13. Puente de Vallecas;9.997;10.244;10.485;10.448;10.454
Formación profesional 1er grado;14. Moratalaz;3.468;3.525;3.564;3.524;3.499
Formación profesional 1er grado;15. Ciudad Lineal;6.547;6.613;6.690;6.603;6.593
