Barrios;2018;2019;2020;2021;2022
01. Centro;29.132;30.837;34.084;36.509;37.185
02. Arganzuela;14.560;15.295;16.367;16.637;16.274
03. Retiro;8.409;9.265;10.198;10.279;10.380
04. Salamanca;18.193;19.375;21.374;21.948;22.682
05. Chamartín;13.165;13.798;14.873;15.059;14.850
06. Tetuán;28.157;30.078;32.346;32.647;31.858
07. Chamberí;14.813;15.822;17.075;17.403;17.515
08. Fuencarral-El Pardo;19.247;20.882;22.884;22.827;22.115
09. Moncloa-Aravaca;11.710;12.535;13.710;14.000;13.629
10. Latina;34.131;37.169;41.331;42.591;41.444
11. Carabanchel;44.194;48.933;54.964;56.311;54.941
12. Usera;28.184;30.737;34.104;35.010;33.693
13. Puente de Vallecas;37.413;42.006;47.560;49.051;47.656
14. Moratalaz;7.938;8.843;10.077;10.030;9.874
15. Ciudad Lineal;28.283;30.671;33.770;34.054;33.362
16. Hortaleza;17.125;19.093;21.173;21.625;22.061
17. Villaverde;26.244;28.961;32.745;33.784;33.207
18. Villa de Vallecas;12.125;13.543;15.429;16.122;16.375
19. Vicálvaro;8.125;8.741;9.593;10.064;10.568
20. San Blas-Canillejas;17.315;19.432;22.171;22.907;22.713
21. Barajas;4.237;4.607;5.053;5.136;4.861
