Barrios;2018;2019;2020;2021;2022
01. Centro;4.809,31;5.279,93;5.223,73;4.935,90;5.466,32
02. Arganzuela;3.693,97;3.927,78;4.214,21;4.210,73;4.489,71
03. Retiro;4.444,42;4.864,84;4.759,56;4.818,16;5.284,27
04. Salamanca;5.400,24;5.857,87;5.511,90;5.737,17;6.496,29
05. Chamartín;4.708,52;5.111,43;5.148,46;5.122,90;5.616,88
06. Tetuán;3.325,98;3.661,17;3.648;3.756,93;3.955,42
07. Chamberí;5.202,37;5.538,86;5.451,36;5.701,59;6.188,49
08. Fuencarral-El Pardo;3.311,77;3.532,33;3.704,16;4.037,31;4.054,52
09. Moncloa-Aravaca;3.754,98;3.952,35;3.961,30;4.451,38;4.512,62
10. Latina;2.103,49;2.309,59;2.423,18;2.340,85;2.507,78
11. Carabanchel;1.979,46;2.178,48;2.352,41;2.335,49;2.454,64
12. Usera;1.722,97;1.896,40;2.323,82;2.065,27;2.183,17
13. Puente de Vallecas;1.637,04;1.841,52;1.908,39;1.908,50;2.110,69
14. Moratalaz;2.321,59;2.551,94;2.499,60;2.593,33;2.767,30
15. Ciudad Lineal;2.853,33;3.188,41;3.154,24;3.177,85;3.511,66
16. Hortaleza;3.307,99;3.304,06;3.412,21;3.851,04;3.920,20
17. Villaverde;1.501,67;1.750,08;1.749,87;1.836,69;1.830,26
18. Villa de Vallecas;2.141;2.280,79;2.543,35;2.326,79;2.628,55
19. Vicálvaro;1.876,50;1.919,73;2.265,78;2.410,25;2.604,57
20. San Blas-Canillejas;2.264,89;2.270,33;2.601,53;2.756,64;2.739,57
21. Barajas;3.276,03;3.049,82;3.084,26;3.334,23;3.445,86
